name
Acanthite
Actinolite
Adamite
Aegirine
Aeschynite
Agate
Ajoite
Albite
Alexandrite
Allanite
Alluvial
Almandine
Altaite
Aluminum
Alunite
Amber
Amblygonite
Amethyst
Analcime
Anapaite
Anatase
Andalusite
Andersonite
Andesine
Andesite
Andradite
Angelite
Anglesite
Anhydrite
Ankerite
Annabergite
Anorthite
Anorthosite
Anthophyllite
Antimony
Antlerite
Apatite
Apophyllite
Aquamarine
Aragonite
Arfvedsonite
Argentite
Argyrodite
Arsenic
Arsenopyrite
Arsentsumebite
Arthurite
Artinite
Asteroids
Astrophyllite
Atacamite
Augelite
Augite
Aurichalcite
Austinite
Autunite
Axinite
Azurite
Babingtonite
Bakerite
Baratovite
Barite
Basalt
Bastnasite
Baumhauerite
Bayldonite
Becquerelite
Benitoite
Beraunite
Berlinite
Berthierite
Bertrandite
Beryl
Beryllonite
Betafite
Beudantite
Bideauxite
Bif
Bindheimite
Biotite
Bismuth
Bismuthinite
Bixbyite
Blodite
Bloodstone
Boleite
Boltwoodite
Boracite
Borax
Bornite
Boulangerite
Bournonite
Brannerite
Brass
Brazilianite
Breccia
Brochantite
Brookite
Brucite
Buergerite
Burbankite
Buttgenbachite
Bytownite
Cacoxenite
Calaverite
Calciovolborthite
Calcite
Caledonite
Calomel
Cancrinite
Carbocernaite
Carletonite
Carnallite
Carnelian
Carnotite
Cassiterite
Catapleiite
Cavansite
Celestite
Cerussite
Chabazite
Chalcanthite
Chalcedony
Chalcocite
Chalcophyllite
Chalcopyrite
Chalcosiderite
Chalcotrichite
Chalk
Charoite
Chengdeite
Childrenite
Chkalovite
Chlorapatite
Chlorargyrite
Chlorite
Chondrodite
Chromite
Chromium
Chrysoberyl
Chrysocolla
Chrysoprase
Chrysotile
Churchite
Cinnabar
Citrine
Clausthalite
Cleavelandite
Cliffordite
Clinochlore
Clinoclase
Clinohedrite
Clinohumite
Clinoptilolite
Coal
Cobalt
Cobaltite
Cobaltocalcite
Coconinoite
Coesite
Colemanite
Collinsite
Columbite
Comets
Conichalcite
Connellite
Copiapite
Copper
Cordierite
Cordylite
Cornetite
Cornwallite
Corundum
Covellite
Creedite
Cristobalite
Crocidolite
Crocoite
Cryolite
Cubanite
Cumengite
Cummingtonite
Cuprite
Cuproadamite
Cuprosklodowskite
Cyanotrichite
Cylindrite
Danburite
Datolite
Demantoid
Deposits
Descloizite
Diaboleite
Diamond
Digenite
Diopside
Dioptase
Dolomite
Domeykite
Dravite
Dufrenite
Duftite
Dumortierite
Dundasite
Dyscrasite
Edenite
Edingtonite
Elbaite
Elpidite
Emerald
Emmonsite
Emplectite
Enargite
Enstatite
Eosphorite
Epididymite
Epidote
Epistilbite
Epsomite
Erionite
Erythrite
Esperite
Ettringite
Euclase
Eucryptite
Eudialyte
Eudidymite
Euxenite
Fayalite
Fedorite
Ferberite
Ferro-Edenite
Ferroglaucophane
Fiedlerite
Flint
Fluorapatite
Fluorite
Fluorrichterite
Forsterite
Franckeite
Franklinite
Fuchsite
Fulgarite
Gadolinite
Gahnite
Galena
Gaspeite
Gaylussite
Geodes
Gersdorffite
Gibbsite
Glauberite
Glaucophane
Gmelinite
Goethite
Gold
Goosecreekite
Gormanite
Goshenite
Graemite
Granite
Graphite
Gratonite
Greenockite
Grossular
Gypsum
Gyrolite
Hackmanite
Halite
Hanksite
Hardystonite
Harmotome
Hausmannite
Hedenbergite
Hedyphane
Heliodor
Hematite
Hemimorphite
Herderite
Hessite
Hessonite
Heulandite
Hiddenite
Hilairite
Hinsdalite
Hodgkinsonite
Hopeite
Hornblend
Howlite
Huebnerite
Humite
Hureaulite
Hydroboracite
Hydromagnesite
Hydroxylapatite
Hydroxylbastnasite
Hydrozincite
Hypersthene
Ice
Idocrase
Igneous
Ilmenite
Ilvaite
Indicolite
Inesite
Iolite
Iron
Jade
Jadeite
Jamesonite
Jarosite
Jasper
Joaquinite
Jordanite
Kaemmererite
Kaolinite
Kermesite
Kernite
Kidwellite
Kieserite
Kinoite
Knaufite
Kolwezite
Kornerupine
Kottigite
Kovdorskite
Ktenasite
Kulanite
Kunzite
Kupletskite
Kutnohorite
Kyanite
Labradorite
Larderellite
Larimar
Laueite
Laumontite
Laurionite
Lazulite
Lazurite
Lead
Leadhillite
Lechatelierite
Legrandite
Leifite
Lepidolite
Leucite
Leucochalcite
Leucophanite
Libethenite
Limestone
Limonite
Linarite
Linnaeite
Liroconite
Lithiophilite
Lollingite
Lorenzenite
Ludlamite
Macphersonite
Magnesite
Magnetite
Malachite
Manganbabingtonite
Manganese
Manganite
Marble
Marcasite
Massicot
Melanite
Melanophlogite
Melanterite
Meneghinite
Mercury
Mesolite
Meta-Ankoleite
Meta-Autunite
Meta-Torbernite
Meta-Uranocircite
Meta-Variscite
Meta-Zeunerite
Metamorphic
Meteorites
Miargyrite
Microcline
Microlite
Milarite
Milky Quartz
Millerite
Mimetite
Minasgeraisite
Minium
Mixite
Moctezumite
Moissanite
Moldavite
Molybdenite
Molybdenum
Monazite
Montebrasite
Montmorillonite
Moonstone
Mordenite
Morganite
Moschellandsbergite
Mottramite
Murmanite
Muscovite
Nagyagite
Nahcolite
Narsarsukite
Natrojarosite
Natrolite
Nealite
Nepheline
Nephrite
Neptunite
Nickel
Nickeline
Niter
Nitratine
Norbergite
Obsidian
Okenite
Oligoclase
Olivenite
Olivine
Onyx
Opal
Orpiment
Orthoclase
Osbornite
Osumilite
Otavite
Pachnolite
Palygorskite
Papagoite
Paradamite
Parasymplesite
Paravauxite
Parisite
Pectolite
Pentlandite
Periclase
Peridot
Perovskite
Pharmacolite
Pharmacosiderite
Phenakite
Phillipsite
Phlogopite
Phosgenite
Phosphophyllite
Phosphuranylite
Picromerite
Pirssonite
Plancheite
Platinum
Plattnerite
Polybasite
Polyhalite
Polylithionite
Powellite
Prasiolite
Prehnite
Primordial
Proustite
Pseudoboleite
Pseudobrookite
Pseudomalachite
Psilomelane
Pucherite
Purpurite
Pyrargyrite
Pyrite
Pyroaurite
Pyrochlore
Pyrolusite
Pyromorphite
Pyrope
Pyrophyllite
Pyrrhotite
Quartz
Quetzalcoatlite
Raite
Rammelsbergite
Ramsdellite
Realgar
Rhabdophane
Rheniite
Rhodizite
Rhodochrosite
Rhodolite
Rhodonite
Richterite
Riebeckite
Rockbridgeite
Rock Crystal
Romanechite
Rosasite
Roselite
Rose Quartz
Ruby
Rutile
Safflorite
Sainfeldite
Sal Ammoniac
Samarskite
Sanbornite
Sandstone
Sanidine
Sapphire
Sard
Sardonyx
Sartorite
Scapolite
Scheelite
Schmitterite
Scholzite
Schorl
Schrockingerite
Scolecite
Scorodite
Scorzalite
Sedimentary
Selenite
Selenium
Semseyite
Senarmontite
Serandite
Serpentine
Shattuckite
Siderite
Silicon
Sillimanite
Silver
Sinhalite
Sjogrenite
Sklodowskite
Skutterudite
Smithsonite
Smoky Quartz
Sodalite
Spangolite
Sperrylite
Spessartine
Sphaerocobaltite
Sphalerite
Sphene
Spinel
Spodumene
Staurolite
Stellerite
Stephanite
Stibarsen
Stibiconite
Stibnite
Stichtite
Stilbite
Stishovite
Strengite
Strontianite
Strunzite
Sturmanite
Sugilite
Sulfur
Sunstone
Suolunite
Susannite
Sussexite
Svanbergite
Sylvanite
Sylvite
Symplesite
Synchysite
Taaffeite
Tainiolite
Talc
Tantalite
Tanzanite
Tarbuttite
Teallite
Tektites
Tellurium
Tennantite
Tephroite
Tetrahedrite
Thaumasite
Thenardite
Thomsonite
Thorite
Thorogummite
Tin
Tinaksite
Tincalconite
Titanite
Titanium
Topaz
Topazolite
Torbernite
Tremolite
Tridymite
Triphylite
Trona
Tsavorite
Tsumcorite
Tsumebite
Turquoise
Tyuyamunite
Ulexite
Ullmannite
Uraninite
Uranocircite
Uranophane
Uranopilite
Uvarovite
Uvite
Valentinite
Vanadinite
Variscite
Vauxite
Vermiculite
Vesuvianite
Veszelyite
Villiaumite
Vivianite
Volborthite
Walpurgite
Wardite
Wavellite
Weloganite
Wernerite
Whewellite
Whiteite
Whitlockite
Willemite
Witherite
Wolfeite
Wolframite
Wollastonite
Woodhouseite
Wulfenite
Wurtzite
Xenotime
Xonotlite
Yuksporite
Zeunerite
Zinc
Zincite
Zinkenite
Zinnwaldite
Zippeite
Zircon
Zoisite
