variety
Accord
Annabelle
Anya
Apache
Bambino
Cara
Carlingford
Charlotte
Chopin
Corolle
Desiree
Duke of York
Dunbar rover
Dundrod
Estima
Exquisa
Fianna
Galante
Golden Wonder
Harmony
Inca Dawn
Innovator
Kerr's Pink
Kestrel
King Edward
Lady Balfour
Marabel
Marfona
Maris Bard
Maris Peer
Maris Piper
Melody
Mozart
Nadine
Nicola
Osprey
Pentland Javelin
Pink Fir Apple
Premiere
Red Duke of York
Red King Edward
Rocket
Romano
Rooster
Roseval
Sante
Saxon
Shetland Black
Vales Sovereign
Vivaldi
Wilja
Witchill
Yukon Gold
