colour
Acid Green
Aero
Aero Blue
African Violet
Air Superiority Blue
Alabama Crimson
Alice Blue
Alizarin Crimson
Alloy Orange
Almond
Amaranth
Amaranth Deep Purple
Amaranth Pink
Amaranth Purple
Amaranth Red
Amazon
Amber
American Rose
Amethyst
Android Green
Anti-Flash White
Antique Brass
Antique Bronze
Antique Fuchsia
Antique Ruby
Antique White
Apple Green
Apricot
Aqua
Aquamarine
Army Green
Arsenic
Artichoke
Arylide Yellow
Ash Grey
Asparagus
Atomic Tangerine
Auburn
Aureolin
AuroMetalSaurus
Avocado
Azure
Azure Mist
Azureish White
Baby Blue
Baby Blue Eyes
Baby Pink
Baby Powder
Baker-Miller Pink
Ball Blue
Banana Mania
Banana Yellow
Bangladesh Green
Barbie Pink
Barn Red
Battleship Grey
Bazaar
Beau Blue
Beaver
Beige
B'dazzled Blue
Big Dip O’ruby
Bisque
Bistre
Bistre Brown
Bitter Lemon
Bitter Lime
Bittersweet
Bittersweet Shimmer
Black
Black Bean
Black Leather Jacket
Black Olive
Blanched Almond
Blast-Off Bronze
Bleu De France
Blizzard Blue
Blond
Blue
Blue Bell
Blue-Gray
Blue-Green
Blue Lagoon
Blue-Magenta Violet
Blue Sapphire
Blue-Violet
Blue Yonder
Blueberry
Bluebonnet
Blush
Bole
Bondi Blue
Bone
Boston University Red
Bottle Green
Boysenberry
Brandeis Blue
Brass
Brick Red
Bright Cerulean
Bright Green
Bright Lavender
Bright Lilac
Bright Maroon
Bright Navy Blue
Bright Pink
Bright Turquoise
Bright Ube
Brilliant Azure
Brilliant Lavender
Brilliant Rose
Brink Pink
British Racing Green
Bronze
Bronze Yellow
Brown-Nose
Brown Yellow
Brunswick Green
Bubble Gum
Bubbles
Buff
Bud Green
Bulgarian Rose
Burgundy
Burlywood
Burnt Orange
Burnt Sienna
Burnt Umber
Byzantine
Byzantium
Cadet
Cadet Blue
Cadet Grey
Cadmium Green
Cadmium Orange
Cadmium Red
Cadmium Yellow
Café Au Lait
Café Noir
Cal Poly Green
Cambridge Blue
Camel
Cameo Pink
Camouflage Green
Canary Yellow
Candy Apple Red
Candy Pink
Capri
Caput Mortuum
Cardinal
Caribbean Green
Carmine
Carmine Pink
