district
Aberdeenshire
Alameda
Alpine
Amador
Angus
Argyll
Avon
Ayrshire
Banffshire
Bedfordshire
Berkshire
Berwickshire
Buckinghamshire
Butte
Caithness
Calaveras
California
Cambridgeshire
Channel Islands
Cheshire
Clackmannanshire
Cleveland
Clwyd
Colusa
Contra Costa
Cornwall
County Antrim
County Armagh
County Down
County Durham
County Fermanagh
County Londonderry
County Tyrone
Cumbria
Del Norte
Derbyshire
Devon
Dorset
Dumfriesshire
Dunbartonshire
Dyfed
East Lothian
East Sussex
El Dorado
Essex
Fife
Fresno
Glenn
Gloucestershire
Gwent
Gwynedd
Hampshire
Herefordshire
Hertfordshire
Humboldt
Imperial
Inverness-Shire
Inyo
Isle of Arran
Isle of Barra
Isle of Benbecula
Isle of Bute
Isle of Canna
Isle of Coll
Isle of Colonsay
Isle of Cumbrae
Isle of Eigg
Isle of Gigha
Isle of Harris
Isle of Iona
Isle of Islay
Isle of Jura
Isle of Lewis
Isle of Man
Isle of Mull
Isle of North Uist
Isle of Rhum
Isle of Scalpay
Isle of Skye
Isle of South Uist
Isle of Tiree
Isle of Wight
Isles of Scilly
Kent
Kern
Kincardineshire
Kings
Kinross-Shire
Kirkcudbrightshire
Lake
Lanarkshire
Lancashire
Lassen
Leicestershire
Lincolnshire
London
Los Angeles
Madera
Marin
Mariposa
Mendocino
Merced
Merseyside
Mid Glamorgan
Middlesex
Midlothian
Modoc
Mono
Monterey
Morayshire
Nairnshire
Napa
Nevada
Norfolk
North Humberside
North Yorkshire
Northamptonshire
Northumberland
Nottinghamshire
Orange
Orkney
Oxfordshire
Peeblesshire
Perthshire
Placer
Plumas
Powys
Renfrewshire
Riverside
Ross-Shire
Roxburghshire
Sacramento
San Benito
San Bernardino
San Diego
San Francisco
San Joaquin
San Luis Obispo
San Mateo
Santa Barbara
Santa Clara
Santa Cruz
Selkirkshire
Shasta
Shetland Islands
Shropshire
Sierra
Siskiyou
Solano
Somerset
Sonoma
South Glamorgan
South Humberside
South Yorkshire
Staffordshire
Stanislaus
Stirlingshire
Suffolk
Surrey
Sutherland
Sutter
Tehama
Trinity
Tulare
Tuolumne
Tyne and Wear
Ventura
Warwickshire
West Glamorgan
West Lothian
West Midlands
West Sussex
West Yorkshire
Wigtownshire
Wiltshire
Worcestershire
Yolo
Yuba
